415000	435000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
415000	435000	nmhh	H5		Orvosi implantátumok (állatba ültethető eszközök) (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 300 330-2	
435000	495000	nmhh	LÉGI RÁDIÓNAVIGÁCIÓ				
435000	495000	nmhh	H4	K	Útvonali irányadó (NDB) (egyirányú (föld-levegő)).	ICAO Annex 10:I. kötet 3. fejezet 3.4. és 3.9. pont I. kötet C melléklet 6. pont V. kötet 3. fejezet 3.2. pont V. kötet B melléklet	Csatornaosztás: 1 kHz (az európai régióban: 0,5 kHz ishasználható) Frekvenciakijelölés hatósági frekvenciajegyzék szerint.
435000	495000	nmhh	H4		Bevezető irányadó (egyirányú (föld-levegő)).	ICAO Európai Léginavigációs Terv X. rész (COM-4 táblázat)	
435000	495000	nmhh	TENGERI MOZGÓ				
435000	495000	nmhh	H16		GMDSS keretén belül, parti állomástól hajók felé navigációs és meteorológiai figyelmeztetések, valamint sürgős tájékoztatások (MSI) keskenysávú távgépírón, NAVTEX a 490 kHz frekvencián.	RR 31., 32., 33., 52. Cikkek; RR 15. Függelék MSZ EN 300 065-2	
435000	495000	nmhh	H15A		Lavina vészjeladó és vészjelvevő alkalmazások (SRD) a 456,9-457,1 kHz sávban.	2001/148/EKERC/REC 70-03 2. mellékleteMSZ EN 300 718-2; MSZ EN 300 718-3	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
435000	495000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	
435000	495000	nmhh	H5		Orvosi implantátumok (állatba ültethető eszközök) (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 300 330-2	
495000	505000	nmhh	MOZGÓ				
495000	505000	nmhh	H17	K	Morze-rádiótávíró üzemű állomások.	RR 31., 51. és 52. Cikkek	
495000	505000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
495000	505000	nmhh	H5		Orvosi implantátumok (állatba ültethető eszközök) (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 300 330-2	
505000	526500	nmhh	LÉGI RÁDIÓNAVIGÁCIÓ				
505000	526500	nmhh	H4	K	Útvonali irányadó (NDB) (egyirányú (föld-levegő)).	A középhullámú tengeri mozgó- és légi rádiónavigáció szolgálat tervezésével megbízott körzeti igazgatási értekezlet (1. Körzet) (Genf, 1985) záróokirataiICAO Annex 10:I. kötet 3. fejezet 3.4. és 3.9. pont I. kötet C melléklet 6. pont V. kötet 3. fejezet 3.2. pont V. kötet B melléklet	Csatornaosztás: 1 kHz (az európai régióban: 0,5 kHz ishasználható) Frekvenciakijelölés hatósági frekvenciajegyzék szerint.
505000	526500	nmhh	H4		Bevezető irányadó (egyirányú (föld-levegő)).	ICAO Európai Léginavigációs Terv X. rész (COM-4 táblázat)	
505000	526500	nmhh	TENGERI MOZGÓ				
505000	526500	nmhh	H16		GMDSS keretén belül, parti állomástól hajók felé navigációs és meteorológiai figyelmeztetések, valamint sürgős tájékoztatások (MSI) keskenysávú távgépírón, NAVTEX az 518 kHz frekvencián.	RR 31., 32., 33. és 52. CikkekRR 15. Függelék MSZ EN 300 065-2	
